turns,speaker_role,utterance,theme_label,gemma_pred,mistral_pred,utterance_id
t-43/79,Customer,"Yes, please. I need you to check my balance on my card.",check account balance,Check Account Balance,Check Account Balance,Banking_b6d78490_100024_4173367-42
t-4/83,Customer,"Hi, Susan. this is Justine and I need to do a wire transf...",make external wire transfer,Request Wire Transfer,Wire Transfer Requests,Banking_416ad54e_100311_4145611A2-3
t-8/22,Customer,"Oh, right. Yeah, sorry. I was in the middle of just chit ...",find branch,Branch Location Request,"
Nearest Branch Location and Hours",Banking_4a46875f_100456_5544050-7
t-9/22,Agent,"yep, I can definitely help you with that. I can also let ...",find atm,Find ATM Location,Find ATM Location,Banking_4a46875f_100456_5544050-8
t-2/31,Customer,"yes, my name is Dan Thomas and I called the other day abo...",check account balance,Check Account Balance,Account Inquiries & Disputes,Banking_40a7a878_100021_2464642-1
t-2/30,Customer,yes. Hello. I'm Pauline. I'm a customer with you guys and...,inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Account Inquiries & Disputes,Banking_326d0bb3_100230_4306700-1
t-24/30,Customer,actually I actually I would like to check my my savings a...,check account balance,Check Account Balance,Check Account Balance,Banking_326d0bb3_100230_4306700-23
t-38/56,Customer,yes and no. Would there be anyway I could get that like q...,expedite processing/transfer | inquire about expedite processing,Update Personal Information,Financial Transactions and Bank Services,Banking_f0c09823_100101_5395748-37
t-2/44,Customer,"Hi, Rose. My name is Kim. I have. I need to update actual...",update phone number,Update Personal Information,Personal Information Update,Banking_6a6f26c7_100285_834073-1
t-8/44,Customer,"well, I'm trying to update my phone number, but I actuall...",check account balance,Check Account Balance,Check Account Balance,Banking_6a6f26c7_100285_834073-7
t-2/66,Customer,"yeah, I received a notice in the mail about something bei...",report notice,Dispute Transaction,Personal Information Update,Banking_a509f015_100439_4276108-1
t-27/66,Agent,OK. Excellent. Thank you Ms. Crystal. And while I got you...,inquire about online banking/account security | manage online banking/account security,Update Personal Information,Personal Information Update,Banking_a509f015_100439_4276108-26
t-2/40,Customer,Hi. I have a charge on my card and I don't recognize it. ...,inquire about charge dispute | request/check status of charge dispute,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_781629f8_100218_2049914-1
t-9/78,Agent,OK. And you said you were checking the account balance?,check account balance,Check Account Balance,Check Account Balance,Banking_449afeb6_100041_3142912-8
t-43/78,Customer,That ain't gonna be enough. Can I open a credit card?,open credit card,Money Transfer/Account Access,Financial Transactions and Bank Services,Banking_449afeb6_100041_3142912-42
t-68/78,Agent,"John, we do offer express mail. Would you like me to expr...",expedite processing/transfer | inquire about expedite processing,Update Personal Information,Financial Transactions and Bank Services,Banking_449afeb6_100041_3142912-67
t-2/46,Customer,"Oh! Yes, I wanna check my account. no, never mind. what d...",inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_2ad57208_100188_237872-1
t-3/46,Agent,All right. So we can actually report that card as stolen....,inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_2ad57208_100188_237872-2
t-16/57,Customer,"yes, it's my savings account. Three five seven two five s...",check account balance,Check Account Balance,Check Account Balance,Banking_4b41f666_100105_3665771-15
t-47/57,Customer,"Oh, perfect . Can you gimme the the the balance on my cre...",check account balance,Check Account Balance,Check Account Balance,Banking_4b41f666_100105_3665771-46
t-21/42,Customer,Yes and I'd also like to know what that what that balance...,check account balance,Check Account Balance,Check Account Balance,Banking_c0a3000d_100136_834073-20
t-4/48,Customer,"Hi. Yeah. So I was just trying to, check my checking acco...",check account balance,Check Account Balance,Check Account Balance,Banking_9a42087e_100028_2626587-3
t-32/48,Customer,"No. That's OK. it should hit in, in a couple of days. But...",check account balance,Check Account Balance,Check Account Balance,Banking_9a42087e_100028_2626587-31
t-38/48,Customer,"go. You know what, go ahead and just tell me the regular ...",check account balance,Check Account Balance,Check Account Balance,Banking_9a42087e_100028_2626587-37
t-6/32,Customer,Well anyways I was hoping you can. I need to update my st...,update customer address,Update Personal Information,Personal Information Update,Banking_45d03149_100270_5387459-5
t-2/84,Customer,Hi. My name is Ashley and I wanted some information on op...,open bank account,Open New Account,"
Online Banking Setup Requests",Banking_6d54054b_100373_1379198-1
t-66/84,Agent,So with that being said I just have a couple more questio...,open bank account,Money Transfer/Account Access,Transfer Funds Between Accounts,Banking_6d54054b_100373_1379198-65
t-76/84,Agent,OK. OK. No worries. No worries. OK so you're account has ...,inquire about online banking | set up/get online banking info,Open New Account,"
Online Banking Setup Requests",Banking_6d54054b_100373_1379198-75
t-2/55,Customer,Hi Wes. I was just calling because I found a transaction ...,inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Report Lost/Stolen Card & Dispute Transactions,Banking_b368775b_100225_4562163-1
t-42/55,Agent,Oh. OK. Would you want to check your account balance then...,check account balance,Check Account Balance,Check Account Balance,Banking_b368775b_100225_4562163-41
t-2/68,Customer,I hope it's not too late but my account was frozen at Wel...,open bank account,Open New Account,Transfer Funds Between Accounts,Banking_b4c553b5_100351_748987-1
t-2/43,Customer,yes. I've lost my phone last week on a trip to Florida. I...,update phone number,Update Personal Information,Personal Information Update,Banking_abc49dd4_100281_237872-1
t-36/43,Agent,"All right, sir. I have updated your account information f...",inquire about online banking | set up/get online banking info,Open New Account,"
Online Banking Setup Requests",Banking_abc49dd4_100281_237872-35
t-22/44,Customer,"Say love. OK, can I check my balance when we're done?",check account balance,Check Account Balance,Check Account Balance,Banking_5dfcbfb7_100476_5037344-21
t-2/43,Customer,Hi this is Julie Williams. I'm calling to check a balance...,check account balance,Check Account Balance,Account Inquiries & Disputes,Banking_03c6c45f_100035_1734467-1
t-17/43,Customer,"Oh, OK. Can I transfer two hundred dollars from my saving...",make internal transfer,Money Transfer/Account Access,Transfer Funds Between Accounts,Banking_03c6c45f_100035_1734467-16
t-2/41,Customer,yes. I'm trying to find out if there's an ATM close to me...,find atm,Find ATM Location,Find ATM Location,Banking_c68a5f2e_100468_1951334-1
t-12/43,Customer,"Yes, please. Also can you tell me my last transaction?",get transaction history/details | inquire about past transactions,Check Account Balance,Check Account Balance,Banking_7e135c4f_100063_5037344-11
t-10/31,Customer,That's hilarious. Well. I I'm calling today. I actually I...,open bank account,Open New Account,Account Inquiries & Disputes,Banking_8aad1fa4_100366_834073-9
t-2/32,Customer,yes. I need to check the my checking account balance.,check account balance,Check Account Balance,Check Account Balance,Banking_ffb51f99_100028_2464642-1
t-16/32,Customer,OK. I got another question for you. does my checking acco...,check/manage interest rates | inquire about interest rates,Money Transfer/Account Access,Check Account Balance,Banking_ffb51f99_100028_2464642-15
t-2/46,Customer,Hi Mark. My name is Dorothy Lee. I would like to check my...,check account balance,Check Account Balance,Check Account Balance,Banking_88fca5eb_100042_1304991-1
t-24/65,Agent,"OK. Yeah. I I see that, that will be cleared in two days....",make internal transfer,Internal Funds Transfer,Transfer Funds Between Accounts,Banking_78a26d06_100013_3014893-23
t-2/81,Customer,"Yes. I need to speak to someone about. Well, I've lost my...",inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_9917e911_100156_5323154-1
t-44/81,Agent,OK. So it does really look like these are yours. Your tra...,inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_9917e911_100156_5323154-43
t-61/81,Customer,OK. So I'm gonna update my new address then.,update customer address,Update Personal Information,Personal Information Update,Banking_9917e911_100156_5323154-60
t-21/51,Customer,could you possibly transfer that balance to a new account...,make external wire transfer,Internal Funds Transfer,Transfer Funds Between Accounts,Banking_3c573087_100120_1951334-20
t-46/51,Customer,"Well, can you tell me are they going to email me somethin...",request email | request informational/confirmation email,Dispute Transaction,Report Lost/Stolen Card & Dispute Transactions,Banking_3c573087_100120_1951334-45
t-18/46,Customer,"Oh yeah I habye bye, I have one more I need help finding ...",find atm,Find ATM Location,Find ATM Location,Banking_7e046a8d_100472_3730990-17
t-4/25,Customer,actually I'd like to open a new account.,open bank account,Open New Account,"
Online Banking Setup Requests",Banking_127942f5_100366_5219686-3
t-17/25,Agent,Wonderful. And all right so that is all that we need to e...,inquire about online banking | set up/get online banking info,Open New Account,"
Online Banking Setup Requests",Banking_127942f5_100366_5219686-16
t-2/31,Customer,yes. My name is Ben Kendall. K E N D A L. And I need to f...,find branch,Branch Location Request,"
Nearest Branch Location and Hours",Banking_bba917e9_100419_2464642-1
t-21/31,Customer,what hours is the branch open?,get branch info,Branch Location Request,"
Nearest Branch Location and Hours",Banking_bba917e9_100419_2464642-20
t-67/96,Customer,Yeah just to check the account balance for the checking f...,check account balance,Money Transfer/Account Access,Transfer Funds Between Accounts,Banking_d72ec428_100033_2889722-66
t-69/96,Customer,Perfect. OK that's great. And can you go ahead and check ...,check account balance,Check Account Balance,Financial Transactions and Bank Services,Banking_d72ec428_100033_2889722-68
t-79/96,Customer,OK great. And do you have any like instructions as how I ...,get tech support,Update Personal Information,Personal Information Update,Banking_d72ec428_100033_2889722-78
t-81/96,Customer,yeah well not to check the balance online. I think I just...,get tech support,Open New Account,"
Online Banking Setup Requests",Banking_d72ec428_100033_2889722-80
t-2/39,Customer,"yes I'm looking at my statement, and looks like I've got ...",inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Report Lost/Stolen Card & Dispute Transactions,Banking_903f7f19_100209_2464642-1
t-26/64,Agent,"No problem, and did you want to go ahead and have me tell...",check account balance,Check Account Balance,Check Account Balance,Banking_7f0900d9_100008_1701458-25
t-12/102,Customer,Yes I I have a disputes transaction.,inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Report Lost/Stolen Card & Dispute Transactions,Banking_088048a8_100209_4812696-11
t-95/102,Agent,OK madame this is what we need to do. We try to investiga...,inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_088048a8_100209_4812696-94
t-5/97,Customer,"OK, so I'm calling as regarding a dispute on my account. ...",inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Account Inquiries & Disputes,Banking_a03a1814_100215_5469187-4
t-79/97,Customer,"OK. Another, please. Can you help me pull up my account? ...",check account balance,Check Account Balance,Check Account Balance,Banking_a03a1814_100215_5469187-78
t-4/160,Customer,I lost my card.,inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_c63000fc_100181_5298101A1-3
t-2/48,Customer,yes hi. I just got a notice in the mail. I'm just checkin...,report notice,Dispute Transaction,Financial Transactions and Bank Services,Banking_752f56fa_100015_237872-1
t-33/48,Customer,"Yes, and by the way can I transfer money from my checking...",make internal transfer,Money Transfer/Account Access,Transfer Funds Between Accounts,Banking_752f56fa_100015_237872-32
t-2/51,Customer,"Hi, this is John Smith. I'm calling to check on my bank a...",check account balance,Check Account Balance,Account Inquiries & Disputes,Banking_2a7b0fdb_100005_5564251A2-1
t-28/47,Agent,OK. So you give me a second I'll update your your informa...,update personal info,Update Personal Information,Personal Information Update,Banking_72aa5d66_100258_5323154-27
t-2/50,Customer,"Hey, Izumi. My names Edward Elric. just calling in cuz I ...",inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_fa30d9c1_100170_5240731-1
t-4/63,Customer,"Hi, yeah, I was calling to just check my account balance ...",check account balance,Check Account Balance,Account Inquiries & Disputes,Banking_2c811513_100015_2626587-3
t-42/63,Customer,"Yeah let's just go ahead and transfer over, let's say, fo...",make internal transfer,Money Transfer/Account Access,Transfer Funds Between Accounts,Banking_2c811513_100015_2626587-41
t-51/63,Customer,"Oh I'm sorry, did I say four thousand? I actually only wa...",make internal transfer,Internal Funds Transfer,Financial Transactions and Bank Services,Banking_2c811513_100015_2626587-50
t-2/23,Customer,"yes. My name is Dan Ryland, R Y L A N D. And I need to tr...",make internal transfer,Internal Funds Transfer,Transfer Funds Between Accounts,Banking_bb9171e8_100092_2464642-1
t-10/23,Customer,OK. can you tell me the closest ATM to my address?,find atm,Find ATM Location,Find ATM Location,Banking_bb9171e8_100092_2464642-9
t-2/37,Customer,yes I'm gonna need some new tires on my car and and and c...,make internal transfer,Money Transfer/Account Access,Transfer Funds Between Accounts,Banking_f8abc033_100038_2464642-1
t-8/37,Customer,"Eight zero one one. on second thought, just let me check ...",check account balance,Money Transfer/Account Access,Financial Transactions and Bank Services,Banking_f8abc033_100038_2464642-7
t-16/37,Customer,Can you set up online banking for me?,inquire about online banking | set up/get online banking info,Open New Account,"
Online Banking Setup Requests",Banking_f8abc033_100038_2464642-15
t-4/68,Customer,"Hi, yeah. I was actually just calling to see my checking ...",check account balance,Check Account Balance,Check Account Balance,Banking_90a568b9_100013_2626587-3
t-48/68,Customer,"No, but since you are on the phone, let me get my credit ...",inquire about limits | perform operations with limits,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_90a568b9_100013_2626587-47
t-5/84,Customer,I'm doing all right. I'm calling about. I wanna make a di...,inquire about charge dispute | request/check status of charge dispute,Report Lost/Stolen Card,Account Inquiries & Disputes,Banking_673c6581_100201_5564251A1-4
t-43/84,Customer,OK. And I also wanna do a quick transfer between my two a...,make internal transfer,Internal Funds Transfer,Transfer Funds Between Accounts,Banking_673c6581_100201_5564251A1-42
t-18/50,Customer,"Oh how wonderful. Well, in that case. I I want to open an...",open bank account,Open New Account,"
Online Banking Setup Requests",Banking_8d655b21_100368_5219686-17
t-2/109,Customer,"Hi, I need to do a wire transfer.",make external wire transfer,Request Wire Transfer,Wire Transfer Requests,Banking_b03d7e3d_100324_5564251A2-1
t-58/109,Customer,Do I have any money in my savings account?,check account balance,Check Account Balance,Check Account Balance,Banking_b03d7e3d_100324_5564251A2-57
t-60/109,Customer,"OK, can we transfer money from my savings account to my c...",make internal transfer,Money Transfer/Account Access,Transfer Funds Between Accounts,Banking_b03d7e3d_100324_5564251A2-59
t-45/54,Customer,yes can you send me file in the mail?,request email | request information/confirmation email,Update Personal Information,Financial Transactions and Bank Services,Banking_a7b9dbbf_100256_237872-44
t-23/85,Customer,Two zero four six nine six nine. And what's the hours of ...,get branch info,Branch Location Request,"
Nearest Branch Location and Hours",Banking_a1c551b8_100027_4173367-22
t-32/85,Customer,"OK, and do they have a drive up there, or is it just the ...",get branch info,Branch Location Request,Financial Transactions and Bank Services,Banking_a1c551b8_100027_4173367-31
t-63/85,Agent,"Well, we can go back through your history if you'd like.",get transaction history/details | inquire about past transactions,Update Personal Information,Financial Transactions and Bank Services,Banking_a1c551b8_100027_4173367-62
t-47/58,Customer,mhm can you tell me what's the closest of your ATMs machi...,find atm,Find ATM Location,Find ATM Location,Banking_5abd3358_100491_5564251A1-46
t-6/94,Customer,we need to transfer some money internationally.,make external wire transfer,Request Wire Transfer,Wire Transfer Requests,Banking_2be9f1a4_100338_5564251A1-5
t-80/94,Customer,No. Actually can you let me know please give me the balan...,check account balance,Check Account Balance,Check Account Balance,Banking_2be9f1a4_100338_5564251A1-79
t-28/71,Customer,"Things have been really really difficult and, you know, w...",make internal transfer,Money Transfer/Account Access,Transfer Funds Between Accounts,Banking_46a959dd_100117_834073-27
t-4/58,Customer,"So far. Listen, I called and spoke with Natalie earlier a...",open bank account,Open New Account,"
Online Banking Setup Requests",Banking_1127d90c_100371_1918405-3
t-48/58,Customer,OK. when will I receive my checks?,inquire about checks | order/deposit check,Money Transfer/Account Access,Financial Transactions and Bank Services,Banking_1127d90c_100371_1918405-47
t-2/56,Customer,"Hi yeah, my card my credit card has been stolen. I I may ...",inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_1501f69d_100161_5238546-1
t-3/56,Agent,"Alright, would you like to report your card stolen Lost o...",inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_1501f69d_100161_5238546-2
t-19/73,Customer,"Well, I'm looking to transfer money from my checking acco...",make internal transfer,Money Transfer/Account Access,Transfer Funds Between Accounts,Banking_7190e0fe_100055_834073-18
t-25/58,Agent,Nope? Never heard of it? OK. Yep. It's on twenty-second E...,inquire about online banking | set up/get online banking info,Find ATM Location,Find ATM Location,Banking_d41a2ccd_100492_5037344-24
t-2/42,Customer,"Hi, yes I'm calling because I need to know if you can hel...",find atm,Branch Location Request,"
Nearest Branch Location and Hours",Banking_07e28e37_100456_5565355-1
t-21/42,Customer,sure and if while you're at it if you can also please giv...,get branch info,Update Personal Information,Financial Transactions and Bank Services,Banking_07e28e37_100456_5565355-20
t-2/39,Customer,"yes, this is Will Preston, and I need to locate a close ATM.",find atm,Find ATM Location,Find ATM Location,Banking_63f7f8a9_100491_2464642-1
t-10/39,Customer,"OK, that's better does it have an ATM located at the branch?",get branch info,Find ATM Location,Find ATM Location,Banking_63f7f8a9_100491_2464642-9
t-14/39,Customer,"Can you check my checking account balance for me, please?",check account balance,Check Account Balance,Check Account Balance,Banking_63f7f8a9_100491_2464642-13
t-4/30,Customer,I'm well also. The reason I'm calling is to find out how ...,inquire about online banking/account security | manage online banking/account security,Open New Account,Account Inquiries & Disputes,Banking_8139ab49_100216_1918405-3
t-6/30,Customer,"Thank you. I dropped my phone, it broke and I had to get ...",inquire about charge dispute | request/check status of charge dispute,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_8139ab49_100216_1918405-5
t-2/96,Customer,"Hi, I needed help with my to find out my account balances.",check account balance,Check Account Balance,Check Account Balance,Banking_115f374c_100041_1379198-1
t-30/96,Customer,You're kidding. There's gotta be a faster solution for me.,expedite processing/transfer | inquire about expedite processing,Update Personal Information,Financial Transactions and Bank Services,Banking_115f374c_100041_1379198-29
t-66/96,Customer,Yeah. I need to wire some money.,make external wire transfer,Request Wire Transfer,Wire Transfer Requests,Banking_115f374c_100041_1379198-65
t-24/33,Customer,Yeah. That'd be fine. I'd be OK with that. How much is in...,check account balance,Check Account Balance,Financial Transactions and Bank Services,Banking_7c194c17_100119_5387459-23
t-2/54,Customer,Yes and my name is AJ and I'm trying to figure out where'...,find branch,Branch Location Request,"
Nearest Branch Location and Hours",Banking_f9cd33f3_100416_804259-1
t-4/64,Customer,Well I need to get a balance on my checking account.,check account balance,Money Transfer/Account Access,Check Account Balance,Banking_505fdd5e_100011_5323154-3
t-36/64,Customer,"You know I have heard of banking on the net, I'm really n...",inquire about online banking | set up/get online banking info,Open New Account,"
Online Banking Setup Requests",Banking_505fdd5e_100011_5323154-35
t-57/64,Customer,"Actually you know what, I was thinking there is. I have c...",update email,Update Personal Information,Personal Information Update,Banking_505fdd5e_100011_5323154-56
t-4/47,Customer,Is there an issue with my account and is it possible to s...,get tech support,Dispute Transaction,Report Lost/Stolen Card & Dispute Transactions,Banking_c2f2b985_100033_2754676-3
t-32/47,Customer,So yes let's check the balance and while you're doing it ...,check account balance,Check Account Balance,Check Account Balance,Banking_c2f2b985_100033_2754676-31
t-6/59,Customer,"I would like to check my checking account balance, please.",check account balance,Check Account Balance,Check Account Balance,Banking_96d20739_100166_1918405-5
t-31/59,Customer,I need to report it as lost.,inquire about card security | report/replace/lock lost/compromised card,Update Personal Information,Report Lost/Stolen Card & Dispute Transactions,Banking_96d20739_100166_1918405-30
t-49/59,Customer,What'll I need to do to cancel the card and get a new one?,inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_96d20739_100166_1918405-48
t-2/33,Customer,Hi Rose my name is Kim and I am calling to check my accou...,check account balance,Check Account Balance,Account Inquiries & Disputes,Banking_f6df1812_100041_834073-1
t-2/77,Customer,"Hi, I'm calling to get my account balance.",check account balance,Check Account Balance,Account Inquiries & Disputes,Banking_3493917b_100028_1860981-1
t-41/77,Customer,"No, I don't have any other accounts but I do wanna learn ...",inquire about online banking | set up/get online banking info,Open New Account,"
Online Banking Setup Requests",Banking_3493917b_100028_1860981-40
t-66/77,Customer,"OK. Well, is there anyway you could move some money aroun...",make internal transfer,Money Transfer/Account Access,Wire Transfer Requests,Banking_3493917b_100028_1860981-65
t-19/44,Customer,oh oh before we do that I do need to ask you. What's that...,check account balance,Check Account Balance,Check Account Balance,Banking_0a3039e7_100105_1860723-18
t-21/44,Customer,"OK yeah, I'm just gonna go ahead and I wanna can I get a ...",inquire about checks | order/deposit check,Money Transfer/Account Access,Financial Transactions and Bank Services,Banking_0a3039e7_100105_1860723-20
t-25/44,Customer,five hundred and then we're gonna transfer the rest to my...,make external wire transfer,Money Transfer/Account Access,Transfer Funds Between Accounts,Banking_0a3039e7_100105_1860723-24
t-26/70,Customer,"Yeah. It's for two hundred and fifty, three days ago. Do ...",get transaction history/details | inquire about past transactions,Dispute Transaction,Financial Transactions and Bank Services,Banking_a7021978_100186_5193150-25
t-38/68,Customer,"do, is there like a confirmation number or anything that ...",request email | request informational/confirmation email,Dispute Transaction,Report Lost/Stolen Card & Dispute Transactions,Banking_bdf12b6e_100327_834073-37
t-2/45,Customer,Hi Rose. My name is Kim. I have a question about my accou...,inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Report Lost/Stolen Card & Dispute Transactions,Banking_c03acbcc_100213_834073-1
t-2/40,Customer,Hi my name is Helen Clark. I'm calling because well I'm. ...,make internal transfer,Internal Funds Transfer,Account Inquiries & Disputes,Banking_947f5619_100063_1304991-1
t-2/55,Customer,"Hi, this is Peter Davis and some shop took money from my ...",inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Report Lost/Stolen Card & Dispute Transactions,Banking_14f1339b_100249_1911876-1
t-4/92,Customer,I need to go to the ATM. I need to find one and get some ...,find atm,Find ATM Location,Find ATM Location,Banking_36af15cf_100469_5564251A1-3
t-45/92,Customer,OK. Let's do that. How much money do I have in my account?,check account balance,Check Account Balance,Check Account Balance,Banking_36af15cf_100469_5564251A1-44
t-5/58,Customer,OK. There we go. Yeah. I was I was a little thrown off. O...,find atm,Find ATM Location,Find ATM Location,Banking_439e2bc4_100453_804259-4
t-2/54,Customer,"Yes, my name is Sean Johnson and I need to do a wire tran...",make external wire transfer,Request Wire Transfer,Wire Transfer Requests,Banking_cf227e04_100301_804259-1
t-4/56,Customer,"Hi, so actually I was just calling in to check my account...",check account balance,Check Account Balance,Account Inquiries & Disputes,Banking_21a009e0_100029_2626587-3
t-46/56,Customer,OK. So a couple things probably just did not post yet so ...,check account balance,Check Account Balance,Check Account Balance,Banking_21a009e0_100029_2626587-45
t-2/43,Customer,This is Laura Winters and I would like to open an account...,open bank account,Open New Account,"
Online Banking Setup Requests",Banking_6b6d6cf8_100370_5219686-1
t-6/54,Customer,"well yeah, if I could just go ahead and make the payment ...",make internal transfer,Open New Account,"
Online Banking Setup Requests",Banking_ee8d2d1b_100087_3665771-5
t-40/54,Agent,"Well, what I can do for ya, is at the end of the call or ...",inquire about online banking | set up/get online banking info,Open New Account,"
Online Banking Setup Requests",Banking_ee8d2d1b_100087_3665771-39
t-2/70,Customer,hi Rose. My name is Kim. I am actually I just moved not t...,open bank account,Open New Account,"
Online Banking Setup Requests",Banking_eec2866e_100361_834073-1
t-35/70,Agent,"So, now that I have this information from you, is there d...",inquire about online banking | set up/get online banking info,Open New Account,"
Online Banking Setup Requests",Banking_eec2866e_100361_834073-34
t-2/42,Customer,Well thank you. Hi this is Laura Winters and I have a I h...,open bank account,Open New Account,"
Online Banking Setup Requests",Banking_0803778e_100369_5219686-1
t-19/57,Customer,"yeah. And and when I get to the ATM , how much can I use ...",inquire about limits | perform operations with limits,Find ATM Location,Find ATM Location,Banking_26262ceb_100463_1425178-18
t-10/57,Customer,Is that a busy one or is that all kind of offices out the...,get branch info,Branch Location Request,Find ATM Location,Banking_428abdb1_100417_914374-9
t-2/51,Customer,"Hi Maya, this is Loren again. we just spoke about the sus...",inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Report Lost/Stolen Card & Dispute Transactions,Banking_af9f6a64_100221_2181211-1
t-2/32,Customer,Hi George. My name is Angela Garcia. I'm calling because ...,make external wire transfer,Request Wire Transfer,Wire Transfer Requests,Banking_7ffa0bf8_100306_1304991-1
t-27/32,Agent,OK fantastic. Now in the future we also have options for ...,inquire about online banking | set up/get online banking info,Open New Account,"
Online Banking Setup Requests",Banking_7ffa0bf8_100306_1304991-26
t-4/41,Customer,Oh I was wondering where your nearest branch location is?,find branch,Branch Location Request,"
Nearest Branch Location and Hours",Banking_b4be1f01_100388_5544050-3
t-10/41,Customer,yeah actually I was thinking of opening up a savings acco...,open bank account,Money Transfer/Account Access,Transfer Funds Between Accounts,Banking_b4be1f01_100388_5544050-9
t-2/71,Customer,"yes. I'm calling in regards to you know, finding a branch...",open bank account,Branch Location Request,"
Nearest Branch Location and Hours",Banking_96a95d85_100388_5565355-1
t-48/71,Customer,I'm gonna transfer money out of my savings account to thi...,make internal transfer,Money Transfer/Account Access,Transfer Funds Between Accounts,Banking_96a95d85_100388_5565355-47
t-22/61,Customer,"OK, well I was calling today to check my account balance ...",check account balance,Check Account Balance,Account Inquiries & Disputes,Banking_52ae5041_100042_834073-21
t-2/44,Customer,I've I've misplaced my card. I can't find it.,inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_4c8bb9b0_100191_2464642-1
t-31/44,Customer,That's correct. Can you go ahead and lock the card where ...,inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_4c8bb9b0_100191_2464642-30
t-32/44,Agent,"of course, sir. I can I can lock that card down and we'll...",inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_4c8bb9b0_100191_2464642-31
t-4/38,Customer,good deal. I believe I talked to you the other day. I was...,check account balance,Check Account Balance,Account Inquiries & Disputes,Banking_f978f5b8_100033_2464642-3
t-14/38,Customer,OK. That sounds great. can you tell me if the if my check...,check/manage interest rates | inquire about interest rates,Money Transfer/Account Access,Check Account Balance,Banking_f978f5b8_100033_2464642-13
t-2/40,Customer,"yes, hello. I'm calling to I have a I have multiple accou...",inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Account Inquiries & Disputes,Banking_482cb166_100216_4306700-1
t-2/59,Customer,"Hi, yeah this is Barry Allen yeah I have a I'm seeing a p...",inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Report Lost/Stolen Card & Dispute Transactions,Banking_7e39e413_100233_5238546-1
t-44/59,Customer,"You know what, it's fine. It's fine. I I I got it I wrote...",inquire about card security | report/replace/lock lost/compromised card,Report Lost/Stolen Card,Report Lost/Stolen Card & Dispute Transactions,Banking_7e39e413_100233_5238546-43
t-46/59,Customer,Well it didn't help much last time. Are y'all just gonna ...,inquire about card security | report/replace/lock lost/compromised card,Money Transfer/Account Access,Financial Transactions and Bank Services,Banking_7e39e413_100233_5238546-45
t-27/44,Customer,almost. I need to dispute this transaction I found for Pi...,inquire about charge dispute | request/check status of charge dispute,Dispute Transaction,Report Lost/Stolen Card & Dispute Transactions,Banking_78b97fe1_100225_1489809-26
t-2/37,Customer,I'm calling again regarding my account balance. I called ...,check account balance,Check Account Balance,Account Inquiries & Disputes,Banking_d76a69c8_100005_5409520-1
t-31/37,Agent,Would you like me to show you how to check your account b...,get tech support,Check Account Balance,Check Account Balance,Banking_d76a69c8_100005_5409520-30
t-2/84,Customer,hi. I need to send some money to my mother.,make external wire transfer,Request Wire Transfer,Wire Transfer Requests,Banking_8afe7c62_100315_237872-1
t-10/48,Agent,All right. And would you like to know the operating hours...,get branch info,Branch Location Request,"
Nearest Branch Location and Hours",Banking_bc99743a_100427_2464642-9
